post_date,job_family,count_id_indexed
2020-04-05,Security,0.4685
2020-04-05,Skilled Trades,0.3964
2020-04-05,Supply Chain Staff,0.3900
2020-04-05,Unassigned,0.6296
2020-04-06,,0.4583
2020-04-06,Customer Service,0.3568
2020-04-06,Entertainment and Recreation,0.2407
2020-04-06,Facilities/Constr,0.3029
2020-04-06,Finance/Insurance,0.3860
2020-04-06,Food & Beverage,0.2656
2020-04-06,Healthcare,0.3694
2020-04-06,Hospitality Staff,0.1754
2020-04-06,Human Resources,0.3574
2020-04-06,IT,0.2261
2020-04-06,Manufacturing/Operations Staff,0.3961
2020-04-06,Marketing/Advertising,0.3391
2020-04-06,Product Management,0.4592
2020-04-06,Retail Staff,0.3309
2020-04-06,Sales,0.2993
2020-04-06,Security,0.4530
2020-04-06,Skilled Trades,0.3788
2020-04-06,Supply Chain Staff,0.3695
2020-04-06,Unassigned,0.6551
2020-04-07,,0.4797
2020-04-07,Customer Service,0.3497
2020-04-07,Entertainment and Recreation,0.2558
2020-04-07,Facilities/Constr,0.3222
2020-04-07,Finance/Insurance,0.3841
2020-04-07,Food & Beverage,0.2765
2020-04-07,Healthcare,0.3909
2020-04-07,Hospitality Staff,0.1890
2020-04-07,Human Resources,0.3641
2020-04-07,IT,0.2050
2020-04-07,Manufacturing/Operations Staff,0.3573
2020-04-07,Marketing/Advertising,0.3453
2020-04-07,Product Management,0.4413
2020-04-07,Retail Staff,0.3288
2020-04-07,Sales,0.3029
2020-04-07,Security,0.4680
2020-04-07,Skilled Trades,0.3969
2020-04-07,Supply Chain Staff,0.3718
2020-04-07,Unassigned,0.7590
2020-04-08,,0.4826
2020-04-08,Customer Service,0.3313
2020-04-08,Entertainment and Recreation,0.2539
2020-04-08,Facilities/Constr,0.3191
